Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,2753.862305,2753.862305,2682.133301,2697.547852,2520.486816,277597
2018-09-18,2753.862305,2753.862305,2579.574951,2753.040283,2572.336670,231433
2018-09-19,2753.862305,2815.726074,2712.962402,2815.520508,2630.716064,3148985
2018-09-20,2815.726074,2949.318848,2815.520508,2897.731445,2707.530762,433382
2018-09-21,3051.877197,3051.877197,2816.753662,3000.700684,2803.741211,219493
2018-09-25,2959.595215,3000.906250,2815.931641,2966.583252,2771.863281,183848
2018-09-26,2856.831543,3039.340088,2818.192383,2908.830078,2717.900879,90065
2018-09-27,3000.495361,3000.495361,2816.753662,2913.351563,2722.125732,23714
2018-09-28,2877.384277,2881.289307,2815.726074,2871.218506,2682.758057,157506
2018-10-01,2891.565674,2891.565674,2816.959229,2868.135498,2679.877441,18630
2018-10-02,2964.528076,2964.528076,2795.173340,2827.235596,2641.662109,67353
2018-10-03,2866.902344,2866.902344,2795.173340,2803.600098,2619.577881,36019
2018-10-04,2856.831543,2856.831543,2672.267822,2739.064209,2559.278076,93695
2018-10-05,2672.267822,2733.515137,2672.267822,2709.879395,2532.009033,270601
2018-10-08,2709.673828,2709.673828,2620.475098,2671.856934,2496.482178,226514
2018-10-09,2702.686035,2702.686035,2569.093018,2603.210693,2432.341797,124937
2018-10-10,2610.404297,2669.390381,2579.369385,2615.336914,2443.672119,94362
2018-10-11,2615.336914,2692.409668,2425.429443,2592.317627,2422.163574,195900
2018-10-12,2532.098145,2651.304199,2532.098145,2592.112305,2421.971680,1688966
2018-10-15,2569.093018,2592.112305,2567.860107,2567.860107,2399.311279,29013
2018-10-16,2532.098145,2599.922363,2466.534912,2556.967041,2389.133545,142302
2018-10-17,2599.716797,2661.580566,2586.562988,2599.922363,2429.269287,125355
2018-10-18,2641.027832,2671.856934,2488.937500,2591.495605,2421.395752,92143
2018-10-19,2599.716797,2669.596191,2476.605713,2599.922363,2429.269287,232119
2018-10-22,2599.922363,2671.856934,2497.364014,2663.430176,2488.608398,193039
2018-10-23,2630.751465,2653.359375,2548.951416,2638.972412,2465.756104,90318
2018-10-24,2638.972412,2754.067871,2549.156982,2707.413086,2529.704590,340095
2018-10-25,2579.369385,2751.601563,2556.350342,2683.777588,2507.620361,179294
2018-10-26,2683.572021,2692.409668,2571.354004,2658.908691,2484.383789,136225
2018-10-29,2691.998535,2733.309570,2610.198486,2691.792969,2515.109375,60167
