ABG,ANG,ANH,ARI,CLH,FBR,MSM,MTN,NPN,SOL
Date,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close
2018/09/17,11717.95801,11615.93848,132381.9219,8677.630859,2520.486816,9089.624023,9909.541016,6028.212891,200058.7969,53361.25
2018/09/18,11806.30566,11692.2793,132958.4375,8676.97168,2572.33667,9110.149414,10204.23438,6300.733398,198402.8906,51904.65625
2018/09/19,12133.18652,11923.18262,130618.6875,8807.620117,2630.716064,9480.576172,10187.53516,6328.32959,197474.4844,52143.17969
2018/09/20,12077.76953,11774.27344,131990,8709.964844,2707.530762,9066.166992,9978.302734,6741.421875,198281.8594,51852.80469
2018/09/21,12456.85547,11764.84863,131413.5156,8638.040039,2803.741211,9375.99707,10088.32227,6903.554688,202657.4844,50805.375
2018/09/25,12288.19629,12075.86426,129514.3047,8937.611328,2771.863281,9676.051758,10093.2334,7085.521973,198703.0156,52762.58203
2018/09/26,12448.8252,11719.61133,126906.6484,8952.977539,2717.900879,9852.957031,10117.79102,7420.134766,198500.2188,52349.64844
2018/09/27,12393.4082,11375.6084,123199.5781,8969.043945,2722.125732,9848.070313,10216.02246,7331.307617,192117.4219,52076.24219
2018/09/28,12198.24219,11535.82813,123141.0391,8982.317383,2682.758057,9665.300781,10151.18945,7552.945801,190401.5938,51619.9375
2018/10/01,12301.84961,11378.4375,122068.4297,9242.166016,2679.877441,9710.259766,10063.76367,7709.903809,191378.6563,51901.82813
2018/10/02,12127.56641,11839.30371,121402.6016,9487.349609,2641.662109,9761.083984,9949.816406,7718.526855,187179.6094,52951.14063
2018/10/03,11957.29883,11761.0791,125861.8047,9418.893555,2619.577881,9783.563477,9651.194336,7722.839355,185307.8281,53005.82422
2018/10/04,11744.46289,11757.30957,126946.3438,9080.807617,2559.278076,9854.911133,9331.943359,7528.798828,182437.7344,52959.625
2018/10/05,11693.86426,11708.30078,127985.2422,9063.345703,2532.009033,9544.105469,9073.595703,7226.956055,180315.7188,52169.57813
