Date,ABG,ANG,ANH,ARI,CLH,CSB,FBR,MSM,MTM,MTN,NPN,SHG,SOL
1/2/2018,13344.3418,12034.27148,137104.9219,8616.191406,2588.387207,33748.55078,10389.53906,13110.91797,1939.046753,10923.31445,222675.8281,1046.264404,38864.15625
1/3/2018,12761.99512,12314.22363,137195.9063,8633.569336,2662.500977,34005.89844,10751.16895,12477.0293,1851.112061,10839.18164,226972.75,995.018677,39041.45313
1/4/2018,12760.49023,11994.00879,138419.5,8640.004883,2674.418701,33638.26953,11103.02539,12611.49121,1828.679932,10673.36816,226146.3125,1024.912109,38917.4375
1/5/2018,12790.58594,12210.29492,140172.3125,8813.78418,2597.697754,34005.13672,11220.31055,12773.80469,1852.009399,11004.17871,224885.8438,995.018677,39485.14453
1/8/2018,12862.81543,12351.67676,139892.3906,8811.208984,2575.538086,34618.62109,11142.12012,12746.91211,1837.652588,11088.31152,223678.8438,995.018677,39868.20703
1/9/2018,13257.06641,12062.35938,140462.1563,8914.188477,2637.361816,35330.90234,11239.8584,12965.8916,1816.117798,11076.05957,225791.25,1067.616699,39474.12109
1/10/2018,13126.15137,12499.61133,139995.25,8688.919922,2579.07666,34353.61719,11290.68164,12701.77246,1800.86377,11079.32617,224797.5313,986.477905,40844.70703
1/11/2018,12941.06348,12508.97461,141154.5625,8688.919922,2588.387207,33240,11109.86621,12410.76074,1800.86377,10926.58106,221504.2344,1067.616699,40281.59375
1/12/2018,12978.68262,12546.42676,141593.7813,8762.936523,2513.901123,34465.4375,10995.5127,12370.4209,1812.528564,10903.71094,224717.9219,1065.908569,41154.28516
1/15/2018,12941.06348,13098.84375,142885.5938,8753.283203,2607.008545,35461.10547,11107.91113,12366.5791,1812.528564,10823.66211,223871.6094,986.477905,42197.83594
1/16/2018,13392.49512,12593.24219,140922.0938,8456.572266,2569.765625,36537.19141,11239.8584,12868.8877,1947.122559,10959.25391,229111.2656,1024.912109,41433.54297
1/17/2018,13425.60156,12672.82715,140240.5781,8578.860352,2569.765625,36099.09766,11239.8584,13446.10938,1964.170776,11397.06738,229851.875,1016.371094,41564.90234
