Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,194905.234375,207165.406250,193801.187500,201596.140625,200058.796875,2017691
2018-09-18,203845.734375,203845.734375,196268.937500,199927.500000,198402.890625,1911016
2018-09-19,203293.703125,203876.531250,197105.781250,198991.953125,197474.484375,1385661
2018-09-20,200149.437500,201668.453125,195931.312500,199805.531250,198281.859375,4756053
2018-09-21,202705.218750,204980.578125,201516.296875,204214.796875,202657.484375,2966968
2018-09-25,202261.343750,202261.343750,194308.578125,200229.921875,198703.015625,1748373
2018-09-26,201821.234375,201821.234375,198807.750000,200025.578125,198500.218750,1280741
2018-09-27,198865.578125,198866.218750,193593.718750,193593.718750,192117.421875,1899875
2018-09-28,193583.031250,195603.750000,187581.203125,191864.718750,190401.593750,2093860
2018-10-01,190212.421875,194277.765625,188771.375000,192849.296875,191378.656250,1166701
2018-10-02,188743.718750,191698.734375,186173.484375,188617.968750,187179.609375,1851241
2018-10-03,188965.656250,191346.015625,186103.062500,186731.796875,185307.828125,1993263
2018-10-04,182997.156250,186399.828125,181388.250000,183839.656250,182437.734375,2218679
2018-10-05,182836.828125,183905.031250,179972.984375,181701.343750,180315.718750,1673323
2018-10-08,180622.453125,181817.031250,179022.343750,181390.765625,180007.515625,1138598
2018-10-09,179502.062500,180977.687500,175676.265625,178606.750000,177244.718750,1824880
2018-10-10,176043.437500,176767.734375,167051.390625,167051.390625,165777.484375,2556131
2018-10-11,159130.687500,170369.812500,157181.640625,168579.203125,167293.656250,3667018
2018-10-12,175773.093750,183588.156250,170154.781250,182833.687500,181439.437500,3092224
2018-10-15,179187.078125,179696.343750,172771.546875,172911.125000,171592.531250,1825795
2018-10-16,171013.625000,177366.281250,168827.546875,177366.281250,176013.718750,2572425
2018-10-17,178997.203125,178997.203125,171436.125000,173349.343750,172027.406250,1610347
2018-10-18,169913.359375,172205.687500,168988.500000,171324.218750,170017.734375,2576119
2018-10-19,172836.937500,173551.796875,170354.718750,171202.250000,169896.703125,1337684
2018-10-22,174943.171875,176968.921875,173559.968750,176672.171875,175324.906250,1557131
2018-10-23,170667.828125,173214.171875,168506.890625,168564.734375,167279.296875,2566942
2018-10-24,168564.734375,168994.156250,161897.093750,161897.093750,160662.500000,3568626
2018-10-25,158879.203125,166612.546875,156552.921875,166334.015625,165065.593750,2359154
2018-10-26,162211.453125,163034.453125,158779.234375,160891.125000,159664.187500,1782402
2018-10-29,160324.640625,160325.281250,154492.578125,154492.578125,153314.453125,2732322
2018-10-30,152906.296875,154025.437500,148546.718750,149008.203125,147871.890625,4106352
2018-10-31,160325.281250,163468.906250,159174.078125,163008.687500,161765.625000,4046060
2018-11-01,169756.171875,176968.921875,168122.734375,176968.921875,175619.375000,2855104
2018-11-02,184216.890625,187474.312500,177316.609375,182265.953125,180876.031250,4144862
2018-11-05,176986.531250,183957.218750,176986.531250,183957.218750,182554.390625,1831061
2018-11-06,181073.250000,182959.437500,177017.343750,182959.437500,181564.218750,1825415
2018-11-07,180457.093750,183937.093750,179546.703125,180976.421875,179596.328125,1873790
2018-11-08,183588.156250,183901.890625,175414.718750,175797.609375,174457.015625,1506441
