Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,57000.000000,57071.000000,56337.000000,56600.000000,53361.250000,1381595
2018-09-18,56415.000000,56447.000000,54616.000000,55055.000000,51904.656250,2315450
2018-09-19,55250.000000,55370.000000,54173.000000,55308.000000,52143.179688,2086024
2018-09-20,55000.000000,55504.000000,54557.000000,55000.000000,51852.804688,4888152
2018-09-21,54802.000000,54994.000000,53889.000000,53889.000000,50805.375000,5527611
2018-09-25,54300.000000,56419.000000,54142.000000,55965.000000,52762.582031,3728621
2018-09-26,55800.000000,57208.000000,54300.000000,55527.000000,52349.648438,2432685
2018-09-27,55379.000000,56499.000000,54893.000000,55237.000000,52076.242188,1299107
2018-09-28,55051.000000,56000.000000,53158.000000,54753.000000,51619.937500,2123683
2018-10-01,55265.000000,55430.000000,54244.000000,55052.000000,51901.828125,1044508
2018-10-02,55460.000000,56302.000000,55194.000000,56165.000000,52951.140625,2090710
2018-10-03,56165.000000,56955.000000,55985.000000,56223.000000,53005.824219,2951682
2018-10-04,56223.000000,57249.000000,55669.000000,56174.000000,52959.625000,1241268
2018-10-05,56332.000000,56606.000000,55010.000000,55336.000000,52169.578125,1105979
2018-10-08,55742.000000,55910.000000,54316.000000,54604.000000,51479.464844,1533789
2018-10-09,54541.000000,55187.000000,54402.000000,54880.000000,51739.671875,1325670
2018-10-10,54605.000000,55052.000000,53547.000000,54066.000000,50972.250000,1375665
2018-10-11,53183.000000,53500.000000,51572.000000,52082.000000,49101.777344,2552990
2018-10-12,52435.000000,53282.000000,52129.000000,52496.000000,49492.085938,1899162
2018-10-15,52700.000000,53026.000000,51734.000000,52186.000000,49199.824219,1482895
2018-10-16,52000.000000,52827.000000,51523.000000,52827.000000,49804.144531,1390898
2018-10-17,53045.000000,53424.000000,51840.000000,51980.000000,49005.613281,1626433
2018-10-18,52150.000000,52230.000000,50323.000000,50990.000000,48072.265625,1918596
2018-10-19,50702.000000,51404.000000,50250.000000,50830.000000,47921.417969,2254766
2018-10-22,50902.000000,51568.000000,50095.000000,50399.000000,47515.082031,839359
2018-10-23,50086.000000,50699.000000,48184.000000,48400.000000,45630.468750,1507997
2018-10-24,48375.000000,48855.000000,47750.000000,48105.000000,45352.347656,1930903
2018-10-25,47750.000000,48904.000000,47004.000000,48888.000000,46090.542969,1923625
2018-10-26,48127.000000,48679.000000,47315.000000,47500.000000,44781.964844,1503479
2018-10-29,47500.000000,48535.000000,47001.000000,48000.000000,45253.355469,1681222
2018-10-30,47950.000000,48405.000000,47100.000000,47277.000000,44571.726563,983493
2018-10-31,47900.000000,48810.000000,47621.000000,48400.000000,45630.468750,1748321
2018-11-01,48001.000000,48574.000000,47579.000000,48352.000000,45585.214844,1500123
2018-11-02,47900.000000,49200.000000,47565.000000,47847.000000,45109.113281,2189499
2018-11-05,47500.000000,49108.000000,47500.000000,49108.000000,46297.953125,1344610
2018-11-06,48948.000000,49530.000000,48500.000000,49359.000000,46534.593750,2015455
2018-11-07,48963.000000,49729.000000,48704.000000,49374.000000,46548.730469,1211718
2018-11-08,49555.000000,49880.000000,48677.000000,48677.000000,45891.617188,1404750
2018-11-09,48677.000000,48995.000000,47119.000000,47296.000000,44589.636719,1795694
2018-11-12,47500.000000,48332.000000,47004.000000,47136.000000,44438.796875,1710788
2018-11-13,47100.000000,47834.000000,46489.000000,46606.000000,43939.125000,1641346
2018-11-14,45600.000000,45968.000000,42802.000000,43750.000000,41246.546875,4593002
2018-11-15,43500.000000,44492.000000,43210.000000,43772.000000,41267.289063,2447416
2018-11-16,44350.000000,44576.000000,43857.000000,44297.000000,41762.250000,1973107
2018-11-19,44350.000000,44889.000000,43607.000000,44200.000000,41670.796875,1360156
2018-11-20,43800.000000,44368.000000,43643.000000,43764.000000,41259.746094,2089135
2018-11-21,42100.000000,43444.000000,41505.000000,43150.000000,40680.882813,4132262
2018-11-22,43200.000000,43477.000000,42428.000000,42650.000000,40209.492188,2522842
2018-11-23,42600.000000,42600.000000,40101.000000,40432.000000,38118.410156,1621498
2018-11-26,40525.000000,42000.000000,40506.000000,41562.000000,39183.750000,1522351
2018-11-27,41763.000000,42042.000000,41231.000000,41267.000000,38905.628906,1434366
2018-11-28,41782.000000,42888.000000,41782.000000,42024.000000,39619.312500,2541566
2018-11-29,42164.000000,42504.000000,41503.000000,42107.000000,39697.562500,1769381
2018-11-30,41900.000000,42306.000000,40628.000000,40628.000000,38303.191406,2036150
2018-12-03,41955.000000,43999.000000,41936.000000,43400.000000,40916.578125,2063323
2018-12-04,43450.000000,43648.000000,42494.000000,43136.000000,40667.683594,1671959
2018-12-05,42700.000000,43400.000000,42451.000000,43150.000000,40680.882813,2001891
2018-12-06,42800.000000,43091.000000,41549.000000,42550.000000,40115.214844,2045750
2018-12-07,42550.000000,43561.000000,42460.000000,43144.000000,40675.222656,1437396
2018-12-10,42990.000000,42990.000000,41369.000000,41369.000000,39001.792969,1704911
2018-12-11,41610.000000,43071.000000,41506.000000,42356.000000,39932.316406,1493050
2018-12-12,41999.000000,42982.000000,41800.000000,42407.000000,39980.398438,1058227
2018-12-13,42450.000000,43249.000000,42450.000000,42694.000000,40250.972656,1240236
2018-12-14,42505.000000,42913.000000,42409.000000,42863.000000,40410.304688,1306991
2018-12-18,41800.000000,41921.000000,40566.000000,40791.000000,38456.867188,1490426
2018-12-19,40630.000000,42092.000000,40469.000000,41716.000000,39328.937500,1534912
2018-12-20,41125.000000,41512.000000,40684.000000,41240.000000,38880.171875,3322817
2018-12-21,41238.000000,42000.000000,40533.000000,41132.000000,38778.355469,3526333
2018-12-24,41000.000000,42619.000000,41000.000000,42200.000000,39785.242188,376891
2018-12-27,42843.000000,43156.000000,41465.000000,41985.000000,39582.546875,997840
2018-12-28,42478.000000,43051.000000,41916.000000,42674.000000,40232.121094,730648
2018-12-31,42501.000000,43051.000000,42171.000000,42500.000000,40068.078125,342407
2019-01-02,42013.000000,42376.000000,40671.000000,41740.000000,39351.566406,776319
2019-01-03,41802.000000,43158.000000,41391.000000,42884.000000,40430.101563,962534
2019-01-04,42560.000000,43261.000000,42500.000000,43171.000000,40700.679688,672171
2019-01-07,42785.000000,44562.000000,42129.000000,42504.000000,40071.847656,1325714
2019-01-08,42993.000000,43476.000000,42555.000000,43074.000000,40609.230469,1464774
2019-01-09,43434.000000,44500.000000,43163.000000,44500.000000,41953.632813,1897616
2019-01-10,44300.000000,44845.000000,43949.000000,44395.000000,41854.640625,1793566
2019-01-11,44500.000000,45197.000000,44499.000000,44800.000000,42236.464844,1481040
2019-01-14,44601.000000,44613.000000,43848.000000,44313.000000,41777.332031,996357
2019-01-15,44288.000000,44467.000000,43546.000000,43960.000000,41444.531250,872898
2019-01-16,44397.000000,44405.000000,41602.000000,41602.000000,39221.460938,2367433
2019-01-17,41751.000000,42241.000000,41400.000000,41595.000000,39214.863281,2521351
2019-01-18,42400.000000,42400.000000,41617.000000,41882.000000,39485.437500,958480
2019-01-21,42296.000000,42352.000000,41521.000000,42087.000000,39678.707031,1056283
2019-01-22,41665.000000,42302.000000,41000.000000,42300.000000,39879.519531,966548
2019-01-23,42003.000000,42350.000000,41691.000000,41901.000000,39503.351563,921258
2019-01-24,41600.000000,41750.000000,40856.000000,41038.000000,38689.734375,1390617
2019-01-25,41842.000000,42118.000000,41338.000000,42107.000000,39697.562500,1218349
2019-01-28,41901.000000,42087.000000,41403.000000,41680.000000,39295.000000,861093
2019-01-29,41950.000000,42050.000000,41387.000000,41588.000000,39208.261719,1587904
2019-01-30,41588.000000,41768.000000,41166.000000,41500.000000,39125.296875,1283885
2019-01-31,41499.000000,41940.000000,39000.000000,40042.000000,37750.726563,2901011
2019-02-01,40250.000000,40750.000000,39300.000000,39850.000000,37569.714844,1932504
2019-02-04,40078.000000,40530.000000,39901.000000,40200.000000,37899.683594,1323032
2019-02-05,40277.000000,42090.000000,40110.000000,41882.000000,39485.437500,1810853
2019-02-06,41601.000000,42554.000000,41601.000000,42365.000000,39940.796875,1535479
2019-02-07,42150.000000,42317.000000,40706.000000,41151.000000,38796.265625,1505651
2019-02-08,39550.000000,39621.000000,38328.000000,38478.000000,36276.222656,4243885
2019-02-11,38896.000000,38896.000000,37943.000000,38324.000000,36131.035156,1862961
2019-02-12,38600.000000,39299.000000,38463.000000,39010.000000,36777.777344,1060378
2019-02-13,39189.000000,41235.000000,39189.000000,41190.000000,38833.035156,2374376
2019-02-14,41190.000000,41600.000000,40302.000000,40409.000000,38096.726563,1492677
2019-02-15,40425.000000,41074.000000,40240.000000,40610.000000,38286.226563,2608234
2019-02-18,40999.000000,41430.000000,40792.000000,41250.000000,38889.601563,921600
2019-02-19,41245.000000,41566.000000,40941.000000,41400.000000,39031.019531,843298
2019-02-20,41663.000000,42425.000000,41334.000000,41550.000000,39172.433594,1544051
2019-02-21,41498.000000,41965.000000,41168.000000,41168.000000,38812.292969,850408
2019-02-22,41575.000000,41765.000000,40655.000000,41448.000000,39076.273438,921746
2019-02-25,41294.000000,42145.000000,40900.000000,41300.000000,38936.742188,1628215
2019-02-26,41395.000000,42104.000000,40855.000000,41825.000000,39431.703125,1505856
2019-02-27,42124.000000,42896.000000,41827.000000,42629.000000,40189.691406,1458929
2019-02-28,42629.000000,43836.000000,42500.000000,42988.000000,40528.152344,1747959
2019-03-01,43200.000000,43683.000000,42786.000000,42786.000000,40337.707031,1109486
2019-03-04,43299.000000,43299.000000,42348.000000,42900.000000,40445.183594,921186
2019-03-05,42883.000000,43097.000000,42480.000000,42839.000000,40387.679688,980435
2019-03-06,42950.000000,43347.000000,42544.000000,43085.000000,40619.601563,1353455
2019-03-07,43090.000000,43516.000000,42580.000000,43249.000000,40774.214844,1280189
2019-03-08,43000.000000,43391.000000,41949.000000,42203.000000,39788.070313,1192241
2019-03-11,42203.000000,42514.000000,41765.000000,42514.000000,40081.273438,944203
2019-03-12,42700.000000,42872.000000,41789.000000,42308.000000,39887.062500,1403590
2019-03-13,42099.000000,42351.000000,41350.000000,42351.000000,40492.281250,1079545
2019-03-14,42210.000000,43893.000000,42061.000000,43675.000000,41758.171875,2593496
2019-03-15,43945.000000,43945.000000,42400.000000,42417.000000,40555.382813,2849740
2019-03-18,42500.000000,43959.000000,42500.000000,43650.000000,41734.269531,1195792
2019-03-19,43651.000000,45695.000000,43651.000000,45184.000000,43200.945313,2054414
2019-03-20,45400.000000,45880.000000,44891.000000,44965.000000,42991.554688,3540250
2019-03-22,44620.000000,45813.000000,44620.000000,45200.000000,43216.242188,1497547
2019-03-25,44832.000000,44811.000000,43287.000000,44034.000000,42101.414063,1072891
2019-03-26,43999.000000,44556.000000,43462.000000,44453.000000,42502.027344,828550
2019-03-27,44600.000000,45125.000000,44489.000000,44947.000000,42974.347656,1132056
2019-03-28,45100.000000,46032.000000,44950.000000,45375.000000,43383.562500,1143030
2019-03-29,45538.000000,45747.000000,44561.000000,45000.000000,43025.019531,1229034
2019-04-01,44946.000000,45499.000000,44254.000000,44943.000000,42970.519531,816424
2019-04-02,44990.000000,45055.000000,44413.000000,45000.000000,43025.019531,1163925
2019-04-03,45450.000000,46471.000000,44932.000000,46100.000000,44076.742188,1389149
2019-04-04,45692.000000,46644.000000,45529.000000,46449.000000,44410.425781,1100988
2019-04-05,46500.000000,46878.000000,46307.000000,46740.000000,44688.652344,1338220
2019-04-08,46827.000000,47328.000000,46629.000000,46940.000000,44879.875000,871396
2019-04-09,46801.000000,47182.000000,46334.000000,46585.000000,44540.457031,1078073
2019-04-10,46459.000000,47080.000000,46384.000000,46732.000000,44681.003906,1100707
2019-04-11,46545.000000,46853.000000,45903.000000,46234.000000,44204.863281,1013180
2019-04-12,46002.000000,47279.000000,46002.000000,46662.000000,44614.078125,997891
2019-04-15,46685.000000,46991.000000,46125.000000,46330.000000,44296.648438,1007374
2019-04-16,46500.000000,47452.000000,46500.000000,47452.000000,45369.406250,1120631
2019-04-17,47100.000000,47788.000000,46970.000000,47441.000000,45358.886719,1017331
2019-04-18,46898.000000,47378.000000,45300.000000,46781.000000,44727.855469,1537109
2019-04-23,47300.000000,48826.000000,47085.000000,48749.000000,46609.480469,1304407
2019-04-24,48700.000000,48950.000000,47693.000000,48034.000000,45925.863281,1243410
2019-04-25,48092.000000,48750.000000,47652.000000,48206.000000,46090.312500,1027334
