Date,ABG,ANG,APN,ARI,CLH,CLS,CPI,DSY,FBR,IMP,MTN,NED,NPN,REM,SOL,WHI,DSY,BTI,FSR,SBK
10/2/2006,3918.838379,24472.44531,2980.949219,3053.966797,702.333984,684.252075,2025.468262,1676.568604,867.901367,10552.76758,3172.510498,5123.461914,6725.527344,2004.885742,15106.52539,649.111877,1676.568604,9165.191406,609.062805,3749.067139
10/3/2006,3934.222412,23427.2793,2924.640625,3010.953857,702.466553,684.252075,1956.602783,1699.430908,867.901367,10311.10156,3172.510498,5063.993652,6636.338867,1985.912231,14446.3584,646.751343,1699.430908,9078.454102,609.062805,3768.441162
10/4/2006,3922.886963,23496.52148,2849.562744,2967.939941,701.141113,684.252075,1944.449829,1676.568604,868.585266,10247.30469,3182.777832,5041.120605,6630.168945,1979.714111,14154.33594,659.497498,1676.568604,9050.121094,616.023743,3812.519531
10/5/2006,3983.20752,24006.74023,2815.436035,2967.509277,702.466553,684.252075,1944.449829,1681.141357,868.585266,10190.26953,3241.813477,5100.587402,6675.043457,1989.706909,14125.19238,660.913879,1681.141357,9095.803711,624.724487,3875.003662
10/6/2006,3995.757813,23965.52344,2798.372803,2967.939941,702.466553,691.094604,1991.710815,1710.862793,872.004944,10149.99023,3300.848633,5087.778809,6703.090332,1985.912231,14302.42969,663.274292,1710.862793,9078.454102,631.685364,3864.83252
10/9/2006,3983.613525,24315.83789,2734.385986,2967.939941,697.164856,701.358276,1944.449829,1711.624512,861.746033,10319.1582,3413.785889,5083.663574,6843.321777,1998.56189,14897.70898,675.076294,1711.624512,9136.280273,633.773499,3882.268555
10/10/2006,3979.565186,24146.86719,2606.411133,2967.939941,691.863281,687.673279,1944.449829,1726.104004,865.16571,10069.4375,3413.785889,5031.970703,7252.799316,2011.210693,15078.77344,667.994751,1726.104004,9194.104492,622.288269,3874.52002
10/11/2006,3918.838379,24068.5625,2645.656738,2957.186768,685.898987,680.830872,1958.628052,1741.345581,854.906982,10311.10156,3313.681885,5054.844238,7292.625488,1980.852173,14782.64941,663.274292,1741.345581,9055.326172,621.244202,3870.160156
10/12/2006,4072.273926,23615.21289,2661.867188,2957.186768,689.212463,684.252075,2000.487793,1741.345581,837.808594,10375.54785,3408.652344,5077.716309,7516.435059,2017.661499,14791.12988,675.54834,1741.345581,9223.59375,626.464783,3923.442871
10/13/2006,4163.765625,24068.5625,2684.9021,2957.186768,695.839355,694.515808,2052.474609,1764.207764,837.808594,10431.93359,3419.432861,5210.377441,7373.397949,2011.210693,15018.2168,682.157349,1764.207764,9194.104492,643.866516,3971.880371
10/16/2006,4291.695313,23903.70508,2687.46167,2957.186768,711.744446,697.937012,2018.716675,1765.749512,868.585266,10713.87988,3480.521973,5397.931641,7533.263184,2023.986206,14975.82715,698.208008,1765.749512,9252.508789,668.899231,4165.628418
10/17/2006,4212.346191,24081.74219,2644.803467,2967.939941,711.744446,725.30719,2008.589966,1765.749512,868.585266,10472.21387,3362.450439,5143.132324,7446.880371,1973.263428,15411.84082,708.121704,1765.749512,9020.628906,660.694214,4044.5354
10/18/2006,4243.11377,24418.87305,2695.993164,3010.953857,715.852905,735.570984,2011.965332,1765.749512,868.585266,10391.6582,3394.278809,5249.26123,7347.595215,1986.5448,15623.79004,721.340271,1765.749512,9081.345703,661.764526,4063.909912
10/19/2006,4319.629395,24118.01367,2730.119629,3040.202637,728.974915,738.992371,2025.468262,1785.026611,868.585266,10383.60352,3403.518799,5304.156738,7280.845703,1985.279663,15684.34375,704.817322,1785.026611,9075.56543,656.413452,4069.238037
10/20/2006,4311.532227,24975.24414,2704.524902,3075.903564,738.915344,762.94104,2025.468262,1788.882202,861.746033,10472.21387,3439.453125,5317.879395,7404.25,1992.236816,15896.30078,703.401245,1788.882202,9107.366211,656.413452,4045.50415
10/23/2006,4313.556152,25337.92578,2713.056396,3090.528809,728.974915,766.362244,1964.704468,1792.737427,848.067627,10472.21387,3418.919922,5316.047363,7292.064941,2001.723877,15775.18164,708.593933,1792.737427,9150.738281,647.494629,4059.066162
10/24/2006,4364.162109,25935.51758,2691.727295,3144.294922,735.601563,725.991394,1978.207886,1842.856445,848.067627,10552.85352,3438.940186,5420.804199,7449.684082,2026.389038,15684.34375,741.167664,1842.856445,9263.494141,651.06189,4073.114014
10/25/2006,4356.06543,26410.29492,2691.727295,3150.747559,755.482727,738.992371,1968.080322,1819.724487,846.699829,10641.46484,3388.118652,5297.292969,7264.018555,2023.860229,15744.90625,729.365479,1819.724487,9251.929688,654.629639,4068.75415
10/26/2006,4311.532227,26120.98047,2670.398682,3185.588867,755.482727,718.4646,2025.468262,1797.363159,848.067627,10794.43555,3357.317139,5238.739258,7179.878906,1993.501709,15260.4502,729.365479,1797.363159,9113.151367,643.570313,4000.94165
10/27/2006,4364.162109,25613.23242,2670.398682,3148.59668,762.109863,732.149658,1968.080322,1812.013794,848.067627,10472.21387,3331.13623,5219.526367,7235.972168,1992.362915,15081.80176,736.446838,1812.013794,9107.945313,646.067505,4039.691895
10/30/2006,4384.403809,26355.88867,2713.909424,3178.705566,772.713196,725.30719,1968.080322,1831.290649,848.067627,10351.37988,3400.951416,5260.696777,7348.157227,1978.322388,15502.06836,743.528198,1831.290649,9043.763672,645.710938,4027.58252
10/31/2006,4614.756836,25766.54688,2858.947266,3182.578369,768.736877,732.149658,1974.831543,1835.146118,854.906982,10431.93359,3439.453125,5576.338867,7477.17041,1966.306274,15308.89258,745.888306,1835.146118,8988.830078,687.450073,4189.848633
11/1/2006,4663.742188,25943.76563,2815.436035,3183.008301,775.364075,769.783508,2025.468262,1852.109619,854.906982,10641.37988,3552.390869,5672.404297,7628.621094,1964.028931,15200.49316,755.329956,1852.109619,8978.418945,699.579468,4206.801758
11/2/2006,4635.401855,26046.79297,2755.714355,3187.30957,795.245178,742.413391,1991.710815,1850.567993,851.487244,10592.24121,3526.723633,5489.42334,7565.797363,1974.527588,15048.49121,761.467102,1850.567993,9026.413086,688.520386,4165.628418
11/3/2006,4584.799316,26211.65234,2798.372803,3226.021484,795.245178,721.885986,1974.831543,1873.699463,824.130127,10915.26953,3639.661133,5489.42334,7516.435059,1960.61377,15109.05273,751.553284,1873.699463,8962.808594,690.304138,4141.410645
11/6/2006,4556.460449,26582.57227,2800.111816,3161.500977,808.499268,738.992371,1975.506714,1889.120605,824.814087,11761.10156,3619.126465,5581.370605,7571.966309,1990.971924,15563.22949,748.24884,1889.120605,9101.583008,705.287598,4165.628418
11/7/2006,4606.254883,26149.83008,2826.200195,3183.008301,815.126343,735.570984,1978.207886,1882.952271,854.906982,11664.43457,3634.526611,5555.751953,7516.435059,1998.56189,15775.18164,749.192993,1882.952271,9136.280273,698.509338,4189.848633
11/8/2006,4603.015625,26458.92969,2800.111816,3183.008301,815.126343,752.677124,1978.207886,1889.120605,841.228149,11503.32422,3613.99292,5672.404297,7488.388672,1979.587036,15865.41113,750.609192,1889.120605,9049.543945,706.357727,4214.067871
11/9/2006,4532.169922,26232.25586,2778.371826,3183.008301,815.126343,766.362244,1988.334595,1889.120605,854.906982,11395.05762,3568.304443,5649.530273,7646.009766,1979.587036,15684.34375,742.583984,1889.120605,9049.543945,698.509338,4165.628418
